LineItem,Parent,GrandParent
Tobacco Inventory,Total Cost of Sales - Other Beverages,Gross Profit - Beverages
Steven Fruman,TOTAL WAGES - F.O.H. Wages,STAFF COST
Beer Inventory,Cost of Sales - Beer,Gross Profit - Beverages
FOH - Managers,Wages - F.O.H. Salaried,STAFF COST
Packaging supply,TOTAL SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
FOH - Cashiers,Wages - F.O.H. Wages,STAFF COST
5,TOTAL WAGES - F.O.H. Wages,STAFF COST
Flowers & Candles,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Food Purchases,Cost of Sales - Food,Cost of Sales - Food
Tips Paid,Tips Paid,Tips Paid
Advertising/Promotion,ADVERTISING / PROMOTION,ADVERTISING/PROMOTION
Equipment Rental,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Loan from AF Scrapes LLC,Other Income & Expenses,Other Income & Expenses
Permits,ADMINISTRATION,TOTAL GENERAL & ADMIN EXPENSES
Supplies & Maintenance,TOTAL SUPPLIES & MAINTENANCE,SUPPLIES AND MAINTENANCE
FOH - Hostess,Total Wages - F.O.H. Wages,TOTAL STAFF COST
GC Buildout,TOTAL PRE OPENING EXPENSES,TOTAL PRE OPENING EXPENSES
Accounts Payable - USD,A/P Write Off,Total Other Expenses
Food - Stock Adjustment,Cost of Sales - Food,Cost of Sales - Food
Transport ? Charges,Transportation,TOTAL OPERATING EXPENSES
Cash Banking,Other Income & Expenses,Other Income & Expenses
FOH Supplies / accessories,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Payroll Misc Deductions,Other Expenses,TOTAL OTHER STAFF COST
CAM Charges,OCCUPANCY,OCCUPANCY
License & Permit,FINANCIAL COST,FINANCIAL COST
Other Bev - Stock Adjustment,COG Other Beverages,COST OF GOODS SOLD
Pest Control,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Other Beverages Inventory,Total Cost of Sales - Other Beverages,Gross Profit - Beverages
Net Wages Payable,TOTAL WAGES - 1099,STAFF COST
Wine Purchases,Total Cost of Sales - Wine,COST OF GOODS SOLD
Guaranteed payments to partners,Total Wages - B.O.H. Salaried,STAFF COST
Repairs - Equipment,REPAIRS & MAINTENANCE,REPAIRS & MAINTENANCE
Due from Massimo,Other Income & Expenses,Other Income & Expenses
F&F,Furniture and Fixtures,TOTAL OPERATING EXPENSES
Communication,TOTAL COMMUNICATION,TOTAL OPERATING EXPENSES
Barware,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Staff Loans/Salary Advances,OTHER EMPLOYEE EXPENSES,TOTAL OTHER STAFF COST
Staff Workmans Comp,Employer Taxes,Total Employer Benefits
Interest on Tax / Penalties,FINANCIAL COST,FINANCIAL COST
Retained Earnings,Total Wages - F.O.H. Wages,STAFF COST
Revenue - Retails,REVENUE,REVENUE
Cleaning,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
EIDL Loan,Other Income & Expenses,Other Income & Expenses
Staff Recruitment,OTHER STAFF COST,OTHER STAFF COST
Opening Balance Equity,Total Wages - B.O.H. Salaried,STAFF COST
Interior Design,TOTAL PROMOTION,ADVERTISING / PROMOTION
Entertainment Meals - S,TOTAL PROMOTION,ADVERTISING/PROMOTION
Reservation - OT,Total Wages - B.O.H. Salaried,STAFF COST
Wine Consignment Purchase,Cost of Sales -Wine Consignment,Cost of Sales -Wine Consignment
Professional Fees,PROFESSIONAL FEE,PROFESSIONAL FEE
